abound   v.充满;富于
accredit   vt.委派官员到国外, 授权
abut   v.邻接, 毗邻
accordion   n.手风琴
accretion   n.增加, 增大
absenteeism   n.旷课, 旷工
abide   vi.遵守;vt.忍受
ablaze   adj.着火的, 闪耀的
abrasion   n.表面磨损
abhor  v.憎恶, 痛恨
accede   v.应允, 同意
acrid  adj.(指味道或气味) 辛辣的, 刺鼻的;(语气)尖酸的,刻薄的
acrimonious  adj.尖刻的, 尖酸的
acronym   n.用大写字母表示的缩写词
adept   adj.熟练的, 擅长的
adjacent   adj.接近的, 毗连的, 邻近的
adjunct   n.附件, 附属
admonish   vt.训诫, 训斥
adobe   n.泥砖, 土坯 (房)
adorn   vt.装饰 
advent   n.(尤指不寻常的人或事) 出现, 到来
adverse   adj.1.敌对的;2.不利的;不幸的
aesthetic   adj.美学的, 审美的
affinity  n.1.吸引力, 亲和力;2.密切关系
afflict   vt.折磨;使苦恼
affluence   n.富裕;丰富
aggravate  v.使恶化, 使加重
aggregate   n.聚集, 集合
agile   adj.敏捷的, 活泼轻快的
agitation   n.焦虑, 心神不定
agrarian   adj.有关土地的;耕地的
ailment   n.(长期的) 疾病
ajar   adj.(门、窗等) 微开的
akin to  有密切关系的, 相近的
allegiance   n.忠贞, 效忠
allegory  n.寓言
alliteration  n.头韵
allusion   n.提及, 暗示
aloft   adv.在高处;在空中
aloof   adj.远离的, 冷淡的, 漠不关心的 
ambience  n.周围环境, 气氛
ambiguous   adj.不明确的, 含糊的
ambivalent   adj.(对人或物) 有矛盾看法的
amble  v.漫步, 缓行
amenable   adj.1.讲道理的;顺从的2.有义务的;应服从的
amenity   n.礼仪;舒适, 宜人
amid   prep.在...中
amnesia   n.健忘症
ample   adj.富足的, 充足的
an army of  大群的, 大量的
anarchist   n.无政府主义者
anatomy  n.解剖;解剖学
anecdotal  adj.轶话的, 多轶事趣闻的
anesthesia   n.麻醉
angular   adj.有角的;尖角的
annex   v.附加, 添加;兼并
annihilate   vt.消灭;消减
antagonist  n.对手, 敌手
anthem   n.圣歌, 赞美歌
anthology n.诗集, 文选 
anthropology   n.人类学
antiquated   adj.陈旧的, 过时的
anticipate   v.预料, 预期
antiquity   n.1.古迹;古物;2.古代
antiseptic   n.杀菌剂 防腐剂;adj.防腐的, 杀菌的
apathetic   adj.缺乏兴趣的, 漠不关心的
apex   n.顶点, 最高点
apparel   n.衣服, 服饰
apportion  v.(按比例或计划) 分配
appraisal   n.评价, 估价
appreciable   adj.(数量或变化等) 很大, 足以感受到或产生影响的, 值得重视的
apt   adj.恰当的, 贴切的
arbitrary  adj.专横的, 专制的, 武断的
arboreal   adj.树栖的;树的, 乔木的
archipelago   n.群岛
ardent  adj.热烈投入的, 极热心的
arduous  adj.费力的, 艰难的
aria  n.独唱曲, 咏叹调
arid  adj.干旱的
arsenal n.兵工厂, 军械库
arthritis   n.关节炎
articulate   v.清楚地讲话, 清晰地发音
ascertain   vt.查明, 确定
asphyxiation     n.窒息
assiduous   adj.勤勉的
assemble   v.1.集合, 装配;2.聚集
assimilate  vt.1.学习, 吸收 (知识);2.吃, 吸收 (食物或营养)
asymmetrical   adj.不均匀的, 不对称的
atheist   n.无神论者
atrophy  n.萎缩 (症) ;衰退
attire   n.穿著, 装饰 (正规服装总称)
attorney   n.代理人, 辩护律师
attribute   n.属性, 品质;v.把......归于, 归因于
audition   n.(对艺人的) 面试 (指试演, 试唱等)
auger  n.螺丝钻, 钻孔机
augment  v.增加, 增大
aurora  n.极光 (南北极夜晚所放彩光)
auxiliary  adj.辅助的;补充的
avalanche   n.雪崩
avant-garde n.先锋派 (艺术流派之一) 
avaricious  adj.贪财的, 贪婪的
aversion  n.厌恶, 憎恨
avert   vt.避免, 规避
avid  adj.渴望的;热心的
avocation   n.副业, 嗜好
awe   n.敬畏
backdrop   n.舞台背景;背景
backlog   n.积压(未办完)之事
baffle   vt.使困惑，使迷惑
balmy   adj.(天气) 温和的，微风拂面的
bandanna   n.大手帕
banish   vt.流放, 驱逐出境
barb   n.(鱼钩等的) 倒钩，倒刺
barge   n.驳船
barn   n.谷仓
baroque   adj.(艺术、建筑等) 高度装饰的，过份雕琢的
barrel   n.桶
barter  n.物品交换, 实物交易
bead   n.1.珠子;2.(液体) 小滴
beak n.鸟嘴
bedrock   n.基础, 基石
beguile  vt.1.欺骗，诱骗;2.打发时间，找乐趣
belie   v.掩饰
bellows  n.风箱
bequest   n.遗产
beset   v.包围, 困扰
besiege   v.围攻;困扰
bestow  v.给予，赐赠 (奖励、荣誉等)
bewilder   v.迷惑, 把...弄糊涂, 使不知所措
bias   n.1.偏见;2.倾向，偏好
bicameral   adj.两院制的, 有两个议院的
bison   n.美洲或欧洲的野牛
bizarre   adj.[指态度, 容貌, 款式等]奇异的,古怪的
bland   adj.淡味的，无味的
blazing   adj.炽烧的, 强烈的
bleach  vt.去色, 漂白n.漂白剂
bleak   adj.荒凉的;凄凉的
blink   v.眨眼
bluff   n.陡峭的悬崖, 绝壁
blunt adj.1.(说话) 直言不讳的;2.(刀、铅笔) 钝的，不尖的 
blush  v.脸红, 羞愧
bold   adj.1.勇敢的;2.大胆的, 放肆无礼的
bolster  n.垫子, 枕垫
bonanza   n.富矿带, 带来好运之事, 幸运
boon   n.恩惠，恩赐
boulder   n.巨石
bound   adj.1.负有义务的;2.被束缚的 n.限制
bouquet  n.花束
boycott   vt.联合抵制
braid  v.编织
brawl   n.争吵
breach  v.造成缺口，打破，突破 n.违背，破坏
brim   n.(杯) 边缘
brink  n.边缘
briny   adj.盐水的，咸的
brisk   adj.活泼的,轻快的
brittle  adj.易碎的
broach   v.提出(谈话的主题)
brook   n.小河
buckle n.带扣;v.(使) 变弯曲
bud   n.芽,蓓蕾;v.发芽
bulk   n.1.大批；大部分;2.物体；容积
bump   n.肿块；突起;v.碰(伤), 撞(破)
bunch   n.串, 束;群;v.捆成一束;聚集
burgeon   v.迅速成长，发展
burrow   n.洞穴;v.挖地洞
bust  n.半身 (雕) 像
byword   n.谚语;绰号
cadence   n.(说话时语调的) 抑扬顿挫
caliber   n.才能, 才干;(人或事的) 品质
calibration   n.校准;标定, 刻度
candid  adj.率直、坦白而诚实的
cannibalism   n.同类相食
canopy   n.天篷, 遮篷
captivity   n.囚禁, 拘留
carapace   n.(蟹或龟等的) 甲壳
cardiac  adj.心脏的
cardinal  adj.1.首要的, 主要的;2.一种美洲鸟, 雄性有深红色羽毛
cargo   n.船货, 货物
caricature  n.(滑稽模仿的) 讽刺画 
carnivorous adj.食肉的
carve   v.(把肉等) 切成片
catastrophe  异常的灾祸
cavern   n.大山洞, 大洞穴
cavity   n.洞;腔
celestial   adj.天体的, 天上的
cellist   n.大提琴家
census  n.人口调查, 人口普查
centennial   n.百年纪念
chafe   vt.擦热, 擦破
chagrin  n.懊恼, 失望
chapel  n.小礼拜堂
charter  n.宪章, 章程
chaste adj.贞洁的
chill   n.寒意, 寒战;v.使冷, 变冷;冷却
chisel   n.凿子v.砍凿
chivalry   n.骑士精神, 骑士制度
choke   vt.使窒息
chop  vt.砍
chore   n.零工, 杂务
choreography   n.舞蹈编排
chronic   adj.长期的;慢性的
chronological   adj.按年代顺序排列的
chubby   adj.丰满的, 圆胖的
chunk   n.大块;矮胖的人或物
cipher   n.密码
circumscribe   v.划界限;限制
citadel   n.堡垒, 要塞
cite  vt.引用;举例
clam   n.蛤, 蛤肉
clamor   n.叫嚣, 喧哗
clan   n.家族, 宗族
clergy   n.牧师
clog  vt.阻碍
clot   n./v.凝块
clutch   n.一次所孵的卵(或蛋)
coalesce   v.联合, 合并
coax   v.哄诱, 巧言诱哄;耐心调理
coherent  adj.1.粘着的2.连贯的,有条理的
coil  n.(一) 卷;线圈 vt.盘绕, 卷
collaborate  v.(文艺, 科学等方面) 协作, 合作 
colloquial   adj.口语 (体) 的, 通俗语的
colonize   vt.1.建立殖民地, 拓殖;2.(生物群体) 定居, 居于
colossal   adj.巨大的
combustible   adj.易燃的
commodity   n.商品，日用品
communal   adj.公共的;公社的
commuter   n.往返者
compel   v.强迫, 使不得不
compelling  adj.引人注目的
compensate   v.补偿, 赔偿
complacence   n.自满, 自以为是
complicity   n.共谋, 串通
comprise  vt.包含;由...组成
compulsory   adj.必需做的, 被强制的
concave  adj.凹的
conceal  v.隐藏, 隐瞒
concede   vi.承认
conceive   vt.构思;以为, 设想
concentric   adj.同心的
concerted   adj.共同筹划的, 合作的
concise   adj.简洁的, 简明的
concomitant adj.伴随而来的
concur  vi.观点相同, 同意
concurrent  adj.同时发生的
condensation  n.压缩, 浓缩
condiment  n.调味品
condor  n.秃鹰
confederate  n.同盟者, 盟友
confer   vi.颁给, 赋与；协商
confide  v.吐露 (心事), 倾诉
confine  v.限制
confluence  n.汇集
conform   vi.遵守, 顺从;符合
confound  vt.使糊涂, 迷惑
congenial   adj.(指人) (因性情、志趣等相近) 彼此合得来的;适意的
congenital   adj.先天的, 天生的
congestion   n.拥挤, 拥塞
congregate   vt.聚集  
conifer  n.松类, 针叶树
connoisseur n.鉴赏家, 行家 
consensus  n.一致, 共识
consequence  n.结果, 后果
consonant  adj.协调一致的
conspicuous   adj.显著的, 显眼的, 引人注目的
consort  v.陪伴, 结交
conspiracy   n.阴谋
constellation  n.1.星座2.灿烂的一群
constituent  n.1.成分, 要素;2.选举者
contagious   adj.传染性的, 会感染的
contaminate   v.弄脏, 污染, 感染
contemplate  v.沉思, 对...作周密考虑
contiguous  adj.接近的, 接壤的
continuum  n.连续统一体
contour  n.1.轮廓;2.周线, 等高线
converge   v.聚合, 集中于一点, 会聚
convex  adj.凸出的
convict  vi.判罪, 定罪
convivial   adj.欢乐的, 快乐的
corroborate   vt.(以新的资料或证明) 支持或证实
corruption  n.腐败, 贪污, 堕落
cosmic   adj.宇宙的
cosmopolitan   adj.世界性的, 包含全世界的, 遍布全世界的
counsel   n./v.劝告
counteract   v.消除, 抵消
counterfeit  v.伪造, 仿造
counterpart  n.相对物, 极相似之人或物
courier   n.送急件的人, 信使
cozy   adj.舒适的
crater  n.火山口, 弹坑
credence   n.信任, 相信
credential  n.凭证, 文凭
creek   n.小溪, 小河
crevice   n.缺口, 裂缝
crimson  adj.深红色
cripple  v.削弱, 使残废
criterion  n.标准, 准则
critique  n.(文艺等的) 批评, 评论
crooked   adj.1.狡诈的; 2.弯曲的
